task_model_slug,source_model_slug,seed_prompt_idx,best_prompt_idx,n_articles_total,n_seed_ok,n_best_ok,n_paired_ok,seed_qwk_direction,seed_qwk_confidence,seed_mae,seed_exact_match_rate,best_qwk_direction,best_qwk_confidence,best_mae,best_exact_match_rate,delta_qwk_direction,delta_qwk_confidence,delta_mae,delta_exact_match_rate,seed_warning,best_warning
claude_sonnet46,claude_sonnet46,0,9,35,34,34,34,0.9083063646170442,0.2535211267605634,1.5294117647058822,0.23529411764705882,0.9117341640706127,0.04938271604938271,1.588235294117647,0.058823529411764705,0.0034277994535685252,-0.20413841071118066,0.05882352941176472,-0.1764705882352941,,
claude_sonnet46,gemma4e2b,0,6,35,34,34,34,0.925764192139738,0.17988552739165997,1.4411764705882353,0.23529411764705882,0.8716289104638619,0.2029391182645207,1.588235294117647,0.20588235294117646,-0.05413528167587611,0.02305359087286074,0.1470588235294117,-0.02941176470588236,,
claude_sonnet46,gptoss120b,0,0,35,35,35,35,0.9070631970260223,0.19867060561299843,1.457142857142857,0.2571428571428571,0.9070631970260223,0.19867060561299843,1.457142857142857,0.2571428571428571,0.0,0.0,0.0,0.0,,
claude_sonnet46,qwen36,0,7,35,34,32,32,0.925764192139738,0.1353568498769483,1.4705882352941178,0.23529411764705882,0.8924731182795699,0.21071863580998784,1.875,0.09375,-0.03329107386016816,0.07536178593303955,0.40441176470588225,-0.14154411764705882,,
gemma4e2b,claude_sonnet46,0,9,35,35,35,35,0.7017543859649122,0.4798951048951049,1.9714285714285715,0.37142857142857144,0.7101449275362319,0.38845997561966683,1.9714285714285715,0.22857142857142856,0.008390541571319687,-0.09143512927543807,0.0,-0.14285714285714288,,
gemma4e2b,gemma4e2b,0,6,35,35,35,35,0.7887323943661971,0.32853717026378904,1.6571428571428573,0.37142857142857144,0.7924528301886793,0.4525281920698436,1.7714285714285714,0.34285714285714286,0.00372043582248216,0.12399102180605459,0.1142857142857141,-0.02857142857142858,,
gemma4e2b,gptoss120b,0,0,35,35,35,35,0.7017543859649122,0.4798951048951049,1.9714285714285715,0.37142857142857144,0.7017543859649122,0.4798951048951049,1.9714285714285715,0.37142857142857144,0.0,0.0,0.0,0.0,,
gemma4e2b,qwen36,0,7,35,35,35,35,0.7163120567375887,0.554238032498902,1.8,0.4,0.6209386281588447,0.40111420612813375,2.1142857142857143,0.2571428571428571,-0.09537342857874398,-0.15312382637076827,0.3142857142857143,-0.1428571428571429,,
gptoss120b,claude_sonnet46,0,9,35,35,35,35,0.845360824742268,0.5613456464379947,1.5714285714285714,0.22857142857142856,0.875,0.3448667044809982,1.542857142857143,0.2,0.029639175257731964,-0.21647894195699646,-0.02857142857142847,-0.028571428571428553,,
gptoss120b,gemma4e2b,0,6,35,35,35,35,0.7735191637630662,0.5796637309847879,1.6285714285714286,0.3142857142857143,0.8161764705882353,0.3126472898664572,1.8857142857142857,0.17142857142857143,0.042657306825169106,-0.26701644111833067,0.2571428571428571,-0.14285714285714285,,
gptoss120b,gptoss120b,0,0,35,35,35,35,0.823943661971831,0.6026831785345717,1.5714285714285714,0.2571428571428571,0.823943661971831,0.6026831785345717,1.5714285714285714,0.2571428571428571,0.0,0.0,0.0,0.0,,
gptoss120b,qwen36,0,7,35,35,35,35,0.823943661971831,0.5786209412623131,1.5714285714285714,0.34285714285714286,0.9122807017543859,0.23799582463465552,1.4285714285714286,0.22857142857142856,0.08833703978255492,-0.3406251166276576,-0.1428571428571428,-0.1142857142857143,,
qwen36,claude_sonnet46,0,9,35,35,33,33,0.8013245033112583,0.5145310435931307,1.542857142857143,0.2857142857142857,0.8543046357615894,0.3209003215434083,2.242424242424242,0.12121212121212122,0.052980132450331174,-0.19363072204972243,0.6995670995670993,-0.16450216450216448,,
qwen36,gemma4e2b,,,0,0,0,0,,,,,,,,,,,,,no parsed rows,no parsed rows
qwen36,gptoss120b,0,0,35,35,35,35,0.8135593220338984,0.6195652173913044,1.457142857142857,0.34285714285714286,0.8135593220338984,0.6195652173913044,1.457142857142857,0.34285714285714286,0.0,0.0,0.0,0.0,,
qwen36,qwen36,0,,35,35,0,0,0.8135593220338984,0.5869565217391304,1.5142857142857142,0.2857142857142857,,,,,,,,,,no parsed rows
